"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","1,570.40","1,575.00","1,580.90","1,517.60","183.58M","0.19%"
"11/01/2025","1,567.50","1,486.00","1,581.30","1,470.10","201.19M","5.46%"
"10/01/2025","1,486.40","1,367.00","1,508.30","1,356.90","249.06M","8.97%"
"09/01/2025","1,364.00","1,356.00","1,422.00","1,340.60","213.52M","0.50%"
"08/01/2025","1,357.20","1,386.90","1,431.90","1,350.00","189.16M","-2.37%"
"07/01/2025","1,390.20","1,500.60","1,551.00","1,382.20","246.76M","-7.36%"
"06/01/2025","1,500.60","1,412.10","1,524.80","1,395.60","220.58M","5.61%"
"05/01/2025","1,420.90","1,414.00","1,461.40","1,374.50","237.59M","1.13%"
"04/01/2025","1,405.00","1,264.60","1,412.40","1,114.85","295.76M","10.19%"
"03/01/2025","1,275.10","1,204.00","1,307.70","1,156.00","278.00M","6.25%"
"02/01/2025","1,200.10","1,265.10","1,290.50","1,193.30","206.66M","-5.14%"
"01/01/2025","1,265.10","1,214.85","1,326.00","1,211.60","285.69M","4.08%"
"12/01/2024","1,215.45","1,288.00","1,329.95","1,201.50","288.56M","-5.94%"
"11/01/2024","1,292.20","1,333.05","1,341.95","1,217.25","279.90M","-2.99%"
"10/01/2024","1,332.05","1,480.65","1,487.95","1,320.30","400.77M","-9.79%"
"09/01/2024","1,476.57","1,510.88","1,533.47","1,445.88","297.71M","-2.19%"
"08/01/2024","1,509.63","1,512.00","1,539.72","1,433.25","259.57M","0.28%"
"07/01/2024","1,505.43","1,562.53","1,608.80","1,463.00","230.09M","-3.83%"
"06/01/2024","1,565.40","1,483.00","1,581.00","1,359.30","319.05M","9.44%"
"05/01/2024","1,430.40","1,472.00","1,492.22","1,384.00","240.62M","-2.49%"
"04/01/2024","1,467.00","1,492.47","1,494.00","1,441.50","219.50M","-1.27%"
"03/01/2024","1,485.85","1,463.50","1,512.45","1,412.90","226.19M","1.71%"
"02/01/2024","1,460.80","1,435.00","1,499.95","1,418.05","238.81M","2.40%"
"01/01/2024","1,426.63","1,290.28","1,459.97","1,284.47","265.96M","10.38%"
"12/01/2023","1,292.47","1,189.00","1,307.00","1,188.80","255.46M","8.73%"
"11/01/2023","1,188.72","1,144.57","1,205.97","1,137.60","207.13M","3.91%"
"10/01/2023","1,143.95","1,164.97","1,183.50","1,110.15","205.67M","-2.43%"
"09/01/2023","1,172.50","1,203.28","1,241.50","1,162.50","317.03M","-2.58%"
"08/01/2023","1,203.50","1,277.50","1,291.40","1,199.95","298.48M","-5.58%"
"07/01/2023","1,274.63","1,161.17","1,315.47","1,159.95","396.85M","10.11%"
"06/01/2023","1,157.63","1,125.81","1,172.95","1,112.58","206.50M","3.25%"
"05/01/2023","1,121.16","1,105.86","1,151.94","1,095.35","201.74M","2.04%"
"04/01/2023","1,098.74","1,064.46","1,100.76","1,047.92","193.68M","3.84%"
"03/01/2023","1,058.13","1,064.01","1,100.60","989.57","321.23M","0.37%"
"02/01/2023","1,054.27","1,080.33","1,118.39","1,040.86","282.17M","-1.33%"
"01/01/2023","1,068.48","1,157.52","1,182.94","1,044.49","263.64M","-7.59%"
